x = 189.8432, y = -267.2042, z = 127.9724, angle = -100, collision = h0001B1
x = 265.9026, y = -304.1568, z = 157.8111, angle = 66.52317, collision = h1008B1
x = 264.6876, y = -304.1569, z = 157.3415, angle = 48.82436, collision = h1008B1
x = 263.7394, y = -304.1566, z = 156.5246, angle = 43.21641, collision = h1008B1
x = 262.8685, y = -304.1565, z = 155.6039, angle = 36.89164, collision = h1008B1
x = 262.0699, y = -304.1565, z = 154.5728, angle = 1.203329, collision = h1008B1
x = 261.9134, y = -304.1564, z = 153.3733, angle = -9.830268, collision = h1008B1
x = 262.1152, y = -304.1564, z = 152.0276, angle = -11.34854, collision = h1008B1
x = 262.3527, y = -304.1564, z = 150.8344, angle = -12.13417, collision = h1008B1
x = 262.6388, y = -304.1564, z = 149.497, angle = -5.439385, collision = h1008B1
x = 262.7838, y = -304.1564, z = 148.2998, angle = 1.817472, collision = h1008B1
x = 262.7266, y = -304.1564, z = 146.9597, angle = 9.14494, collision = h1008B1
x = 262.5347, y = -304.1564, z = 145.7441, angle = 11.85762, collision = h1008B1
x = 262.1306, y = -304.1564, z = 143.9244, angle = 18.77582, collision = h1008B1
x = 261.823, y = -304.1564, z = 142.9196, angle = 25.63882, collision = h1008B1
x = 261.3776, y = -304.1564, z = 141.8638, angle = 33.84452, collision = h1008B1
x = 260.6231, y = -304.1564, z = 140.6406, angle = 36.20478, collision = h1008B1
x = 259.9442, y = -304.1564, z = 139.7178, angle = 36.04551, collision = h0009B1
x = 259.1984, y = -304.1531, z = 138.696, angle = 35.73021, collision = h0009B1
x = 258.3734, y = -304.1311, z = 137.5528, angle = 39.2692, collision = h0009B1
x = 257.6321, y = -304.043, z = 136.543, angle = 51.41364, collision = h0009B1
x = 256.5757, y = -304.0281, z = 135.6299, angle = 97.92303, collision = h0009B1
x = 255.351, y = -304.1226, z = 135.4634, angle = 135.1502, collision = h1008B1
x = 254.4178, y = -304.147, z = 136.013, angle = 158.7298, collision = h1008B1
x = 253.8314, y = -304.1564, z = 137.3802, angle = -161.3721, collision = h1008B1
x = 254.4726, y = -304.1564, z = 138.4066, angle = -142.0098, collision = h1008B1
x = 255.3645, y = -304.1564, z = 139.6797, angle = -156.4675, collision = h1008B1
x = 255.9337, y = -304.1564, z = 140.7599, angle = -110.114, collision = h1008B1
x = 257.1039, y = -304.1564, z = 141.2991, angle = -105.1318, collision = h1008B1
x = 258.3284, y = -304.1564, z = 141.6176, angle = -94.33442, collision = h1008B1
x = 259.5721, y = -304.1564, z = 141.7309, angle = -113.2237, collision = h1008B1
x = 263.2128, y = -304.1564, z = 142.1144, angle = -16.48769, collision = h1008B1
x = 263.6546, y = -304.1564, z = 140.9891, angle = -21.01581, collision = h1008B1
x = 264.1956, y = -304.1486, z = 139.741, angle = -82.08414, collision = h0009B1
x = 265.3678, y = -304.1478, z = 139.5061, angle = -138.1577, collision = h1008B1
x = 266.3242, y = -304.1564, z = 140.4128, angle = -162.526, collision = h1008B1
x = 266.7499, y = -304.1564, z = 141.5922, angle = -149.9447, collision = h1008B1
x = 267.2981, y = -304.1566, z = 142.7405, angle = -141.1993, collision = h1008B1
x = 268.1093, y = -304.1614, z = 143.7484, angle = -143.8766, collision = h1008B1
x = 268.8239, y = -304.1658, z = 144.7571, angle = -161.6987, collision = h1008B1
x = 269.2885, y = -304.164, z = 146.0374, angle = -165.2866, collision = h1008B1
x = 269.5957, y = -304.1605, z = 147.2216, angle = -166.9407, collision = h1008B1
x = 269.9093, y = -304.1565, z = 148.5542, angle = -157.3558, collision = h1008B1
x = 270.3431, y = -304.1565, z = 149.6765, angle = -147.5715, collision = h1008B1
x = 271.066, y = -304.1566, z = 150.8165, angle = -124.0687, collision = h1008B1
x = 272.0467, y = -304.1566, z = 151.5184, angle = -93.96409, collision = h1008B1
x = 273.3136, y = -304.1565, z = 151.5578, angle = -13.61754, collision = h1008B1
x = 273.7874, y = -304.1596, z = 150.6076, angle = 15.31804, collision = h1008B1
x = 273.4819, y = -304.1636, z = 149.2897, angle = 10.01994, collision = h1008B1
x = 273.1433, y = -304.1675, z = 147.9777, angle = 5.578775, collision = h1008B1
x = 273.0068, y = -304.1717, z = 146.7509, angle = 6.723843, collision = h1008B1
x = 272.848, y = -304.1762, z = 145.3906, angle = 9.367932, collision = h1008B1
x = 272.6465, y = -304.1773, z = 144.1965, angle = 13.24266, collision = h1008B1
x = 272.3375, y = -304.1736, z = 142.8705, angle = 12.97957, collision = h1008B1
x = 272.0648, y = -304.1702, z = 141.6883, angle = 7.344147, collision = h1008B1
x = 271.9, y = -304.167, z = 140.3786, angle = -5.764857, collision = h1008B1
x = 272.0323, y = -304.1649, z = 139.1448, angle = -37.05095, collision = h1008B1
x = 272.754, y = -304.1639, z = 138.1004, angle = -51.29544, collision = h1008B1
x = 273.7208, y = -304.161, z = 137.24, angle = -70.07175, collision = h1008B1
x = 274.9015, y = -304.1617, z = 136.79, angle = -109.289, collision = h1008B1
x = 276.0657, y = -304.1661, z = 137.0123, angle = -144.5215, collision = h1008B1
x = 276.856, y = -304.1729, z = 137.984, angle = -171.6216, collision = h1008B1
x = 277.1008, y = -304.1815, z = 139.3203, angle = 176.6155, collision = h1008B1
x = 277.0677, y = -304.1844, z = 140.5278, angle = 179.1776, collision = h1008B1
x = 277.0483, y = -304.1871, z = 141.8672, angle = 178.6526, collision = h1008B1
x = 277.0201, y = -304.1895, z = 143.1093, angle = 177.4075, collision = h1008B1
x = 276.9657, y = -304.1912, z = 144.4003, angle = -172.9889, collision = h1008B1
x = 277.088, y = -304.1869, z = 145.6756, angle = -174.6133, collision = h1008B1
x = 277.2248, y = -304.1827, z = 146.9113, angle = -151.9944, collision = h1008B1
x = 277.7305, y = -304.1796, z = 148.135, angle = -135.2529, collision = h1008B1
x = 278.5637, y = -304.1786, z = 149.0402, angle = -119.2094, collision = h1008B1
x = 279.7341, y = -304.1792, z = 149.7509, angle = -118.3483, collision = h1008B1
x = 280.8095, y = -304.18, z = 150.3281, angle = -117.908, collision = h1008B1
x = 282.0102, y = -304.1846, z = 150.9646, angle = -135.641, collision = h1008B1
x = 282.8823, y = -304.2201, z = 151.7671, angle = -173.6665, collision = h1008B1
x = 283.0936, y = -304.2505, z = 153.0755, angle = -175.3752, collision = h1008B1
x = 283.2129, y = -304.2714, z = 154.3319, angle = -157.0092, collision = h1008B1
x = 283.7219, y = -304.2351, z = 155.4975, angle = -133.0746, collision = h1008B1
x = 284.6643, y = -304.1904, z = 156.4094, angle = -133.0344, collision = h1008B1
x = 285.5765, y = -304.1657, z = 157.259, angle = -145.2997, collision = h1008B1
x = 286.3946, y = -304.1638, z = 158.3089, angle = -173.9167, collision = h1008B1
x = 286.5811, y = -304.1597, z = 159.5251, angle = -179.5176, collision = h1008B1
x = 286.595, y = -304.1698, z = 160.9068, angle = -176.5487, collision = h1008B1
x = 286.688, y = -304.2006, z = 162.1186, angle = -129.3347, collision = h1008B1
x = 287.6029, y = -304.1693, z = 163.0731, angle = -114.6636, collision = h1008B1
x = 288.7104, y = -304.1566, z = 163.6065, angle = -99.06442, collision = h1008B1
x = 290.0137, y = -304.1569, z = 163.8105, angle = -35.07806, collision = h1008B1
x = 290.8482, y = -304.1574, z = 162.9424, angle = -1.389547, collision = h1008B1
x = 290.9596, y = -304.1567, z = 161.8582, angle = 11.45865, collision = h1008B1
x = 290.7039, y = -304.1565, z = 160.4904, angle = 22.69744, collision = h1008B1
x = 290.2757, y = -304.1571, z = 159.3351, angle = 13.00748, collision = h1008B1
x = 289.9214, y = -304.1639, z = 158.0143, angle = 1.727013, collision = h1008B1
x = 289.8612, y = -304.1699, z = 156.8023, angle = -11.80845, collision = h1008B1
x = 290.133, y = -304.1761, z = 155.4707, angle = -9.161401, collision = h1008B1
x = 290.3294, y = -304.1818, z = 154.264, angle = 5.329665, collision = h1008B1
x = 290.225, y = -304.1884, z = 152.9307, angle = 15.31301, collision = h1008B1
x = 289.9104, y = -304.1946, z = 151.723, angle = 14.8613, collision = h1008B1
x = 289.5747, y = -304.2012, z = 150.4582, angle = 19.34991, collision = h1008B1
x = 289.1795, y = -304.2063, z = 149.2099, angle = 28.89342, collision = h1008B1
x = 288.6049, y = -304.2215, z = 148.1133, angle = 31.81618, collision = h1008B1
x = 287.897, y = -304.2397, z = 146.9671, angle = 33.53523, collision = h1008B1
x = 287.2123, y = -304.2139, z = 145.9286, angle = 35.85939, collision = h1008B1
x = 286.4134, y = -304.2158, z = 144.8152, angle = 36.77833, collision = h1008B1
x = 285.6857, y = -304.2173, z = 143.8492, angle = 33.13097, collision = h1008B1
x = 284.9231, y = -304.2149, z = 142.7243, angle = 35.85295, collision = h1008B1
x = 284.2178, y = -304.2105, z = 141.7341, angle = 34.05389, collision = h1008B1
x = 283.4738, y = -304.2043, z = 140.6422, angle = 31.13636, collision = h1008B1
x = 282.8233, y = -304.1971, z = 139.5738, angle = 28.18686, collision = h1008B1
x = 282.2196, y = -304.1911, z = 138.4575, angle = 24.89649, collision = h1008B1
x = 281.6628, y = -304.1856, z = 137.277, angle = 21.74623, collision = h1008B1
x = 281.1995, y = -304.1799, z = 136.131, angle = 18.62284, collision = h1008B1
x = 280.7583, y = -304.1727, z = 134.8447, angle = 4.031232, collision = h1008B1
x = 280.6261, y = -304.1754, z = 133.6469, angle = -23.42894, collision = h1008B1
x = 281.1071, y = -304.1658, z = 132.3748, angle = -48.06461, collision = h1008B1
x = 281.9508, y = -304.1582, z = 131.5389, angle = -79.90125, collision = h1008B1
x = 283.287, y = -304.1575, z = 131.2659, angle = -102.2716, collision = h1008B1
x = 284.5163, y = -304.16, z = 131.4945, angle = -84.9808, collision = h1008B1
x = 285.7785, y = -304.1608, z = 131.3837, angle = -33.98486, collision = h1008B1
x = 286.4564, y = -304.1557, z = 130.5235, angle = -74.00365, collision = h0009B1
x = 287.5648, y = -304.1461, z = 130.0006, angle = -115.0324, collision = h1008B1
x = 288.8265, y = -304.1613, z = 130.5127, angle = -148.3741, collision = h1008B1
x = 289.5431, y = -304.1687, z = 131.5499, angle = 168.4879, collision = h1008B1
x = 289.3543, y = -304.1756, z = 132.8901, angle = 164.8947, collision = h1008B1
x = 289.0251, y = -304.1816, z = 134.0613, angle = 179.0263, collision = h1008B1
x = 289.0043, y = -304.1888, z = 135.2241, angle = 176.9994, collision = h1008B1
x = 288.9427, y = -304.1967, z = 136.4783, angle = -175.7535, collision = h1008B1
x = 289.0132, y = -304.2063, z = 137.818, angle = -167.7193, collision = h1008B1
x = 289.272, y = -304.2117, z = 139.0395, angle = -165.863, collision = h1008B1
x = 289.5821, y = -304.2189, z = 140.2829, angle = -163.7387, collision = h1008B1
x = 289.9417, y = -304.2263, z = 141.5334, angle = -155.0771, collision = h1008B1
x = 290.4213, y = -304.2329, z = 142.6792, angle = -139.6351, collision = h1008B1
x = 291.2794, y = -304.232, z = 143.7386, angle = -129.8565, collision = h1008B1
x = 292.2378, y = -304.2266, z = 144.4792, angle = -68.97891, collision = h1008B1
x = 293.4879, y = -304.2236, z = 144.1179, angle = -22.79574, collision = h1008B1
x = 294.0251, y = -304.2257, z = 143.0119, angle = 4.417425, collision = h1008B1
x = 293.996, y = -304.2296, z = 141.588, angle = 5.383842, collision = h1008B1
x = 293.8683, y = -304.2271, z = 140.3559, angle = 6.118292, collision = h1008B1
x = 293.7272, y = -304.2192, z = 139.0352, angle = 10.91908, collision = h1008B1
x = 293.4993, y = -304.2116, z = 137.7999, angle = 16.84913, collision = h1008B1
x = 293.1389, y = -304.2039, z = 136.573, angle = 20.79842, collision = h1008B1
x = 292.6877, y = -304.196, z = 135.359, angle = 24.38785, collision = h1008B1
x = 292.1823, y = -304.1887, z = 134.2286, angle = 25.09002, collision = h1008B1
x = 291.6238, y = -304.1806, z = 133.0009, angle = 9.035739, collision = h1008B1
x = 291.408, y = -304.1732, z = 131.7969, angle = 10.17693, collision = h1008B1
x = 291.169, y = -304.1662, z = 130.4488, angle = 4.242394, collision = h1008B1
x = 291.0556, y = -304.1603, z = 129.2495, angle = -31.9765, collision = h1008B1
x = 291.639, y = -304.1507, z = 128.1149, angle = -82.18282, collision = h1008B1
x = 292.8101, y = -304.1583, z = 127.8389, angle = -99.68166, collision = h1008B1
x = 293.8703, y = -304.162, z = 127.9778, angle = -118.0011, collision = h1008B1
x = 295.0824, y = -304.1679, z = 128.5546, angle = -142.4735, collision = h1008B1
x = 295.9196, y = -304.1742, z = 129.5546, angle = -168.368, collision = h1008B1
x = 296.2748, y = -304.1816, z = 130.8557, angle = -170.4049, collision = h1008B1
x = 296.4747, y = -304.1876, z = 132.0822, angle = -151.1947, collision = h1008B1
x = 297.0822, y = -304.1949, z = 133.3445, angle = -151.3141, collision = h1008B1
x = 297.6787, y = -304.2014, z = 134.4315, angle = -152.5524, collision = h1008B1
x = 298.3158, y = -304.2087, z = 135.6537, angle = -154.0954, collision = h1008B1
x = 298.8502, y = -304.2151, z = 136.7513, angle = -156.2544, collision = h1008B1
x = 299.3932, y = -304.2222, z = 137.9838, angle = -158.326, collision = h1008B1
x = 299.8503, y = -304.2289, z = 139.1307, angle = -160.9847, collision = h1008B1
x = 300.278, y = -304.2367, z = 140.3474, angle = -163.5382, collision = h1008B1
x = 300.6545, y = -304.2285, z = 141.588, angle = -166.2665, collision = h1008B1
x = 300.9616, y = -304.2128, z = 142.7928, angle = -168.7422, collision = h1008B1
x = 301.1999, y = -304.1979, z = 143.9327, angle = -171.1405, collision = h1008B1
x = 301.393, y = -304.1932, z = 145.1421, angle = -171.5479, collision = h1008B1
x = 301.5956, y = -304.187, z = 146.5053, angle = -165.6856, collision = h1008B1
x = 301.8948, y = -304.181, z = 147.6738, angle = -115.9858, collision = h1008B1
x = 302.995, y = -304.1746, z = 148.3464, angle = -88.25269, collision = h1008B1
x = 304.2351, y = -304.1705, z = 148.3401, angle = -47.98616, collision = h1008B1
x = 305.2177, y = -304.1707, z = 147.5495, angle = -15.6556, collision = h1008B1
x = 305.6374, y = -304.1746, z = 146.309, angle = -2.366893, collision = h1008B1
x = 305.7162, y = -304.1856, z = 144.9801, angle = 6.085316, collision = h1008B1
x = 305.6078, y = -304.2028, z = 143.6617, angle = 7.46175, collision = h1008B1
x = 305.4476, y = -304.2175, z = 142.4385, angle = 8.190639, collision = h1008B1
x = 305.2545, y = -304.2338, z = 141.0855, angle = 9.895674, collision = h1008B1
x = 305.0484, y = -304.2483, z = 139.8889, angle = 13.54804, collision = h1008B1
x = 304.7251, y = -304.2378, z = 138.5625, angle = 28.44208, collision = h1008B1
x = 304.1819, y = -304.2284, z = 137.4858, angle = 31.52205, collision = h1008B1
x = 303.4831, y = -304.2189, z = 136.3468, angle = 27.53233, collision = h1008B1
x = 302.9013, y = -304.2123, z = 135.259, angle = 22.91348, collision = h1008B1
x = 302.4012, y = -304.2053, z = 134.0735, angle = 24.84539, collision = h1008B1
x = 301.8646, y = -304.1984, z = 132.903, angle = 27.57335, collision = h1008B1
x = 301.3003, y = -304.1918, z = 131.7988, angle = 24.40633, collision = h1008B1
x = 300.7251, y = -304.1845, z = 130.5852, angle = 15.88136, collision = h1008B1
x = 300.3648, y = -304.1777, z = 129.404, angle = 13.5179, collision = h1008B1
x = 300.0396, y = -304.1701, z = 128.072, angle = 10.82342, collision = h1008B1
x = 299.8087, y = -304.1634, z = 126.8874, angle = 8.009462, collision = h1008B1
x = 299.6152, y = -304.1564, z = 125.5454, angle = 5.725761, collision = h1008B1
x = 299.4893, y = -304.1564, z = 124.3327, angle = 4.100204, collision = h1008B1
x = 299.3922, y = -304.1564, z = 123.0233, angle = 3.083188, collision = h1008B1
x = 299.3225, y = -304.1564, z = 121.7659, angle = 1.974212, collision = h1008B1
x = 299.2773, y = -304.1564, z = 120.5052, angle = 0.8826653, collision = h1008B1
x = 299.2731, y = -304.1564, z = 119.1927, angle = -7.055749, collision = h1008B1
x = 299.4157, y = -304.1564, z = 117.967, angle = -9.072158, collision = h1008B1
x = 299.6263, y = -304.1564, z = 116.6176, angle = -11.37295, collision = h1008B1
x = 299.8606, y = -304.1564, z = 115.4259, angle = -13.78736, collision = h1008B1
x = 300.1759, y = -304.1638, z = 114.0963, angle = -12.21044, collision = h1008B1
x = 300.4307, y = -304.1662, z = 112.9173, angle = 1.847225, collision = h1008B1
x = 300.4122, y = -304.1618, z = 111.5805, angle = 1.947123, collision = h1008B1
x = 300.3685, y = -304.1616, z = 110.2961, angle = 2.820445, collision = h1008B1
x = 300.3062, y = -304.1683, z = 109, angle = 2.625825, collision = h1008B1
x = 300.2452, y = -304.1757, z = 107.7255, angle = 0.3415095, collision = h1008B1
x = 300.2319, y = -304.1809, z = 106.4637, angle = -0.8874875, collision = h1008B1
x = 300.2497, y = -304.1837, z = 105.1266, angle = -1.838632, collision = h1008B1
x = 300.287, y = -304.178, z = 103.881, angle = -3.594483, collision = h1008B1
x = 300.3692, y = -304.1718, z = 102.5144, angle = -9.122646, collision = h1008B1
x = 300.5529, y = -304.1669, z = 101.317, angle = -16.56433, collision = h1008B1
x = 300.9312, y = -304.1621, z = 99.99533, angle = -25.50532, collision = h1008B1
x = 301.4398, y = -304.1588, z = 98.889, angle = -38.97904, collision = h1008B1
x = 302.2665, y = -304.157, z = 97.85509, angle = -74.48972, collision = h1008B1
x = 303.434, y = -304.1594, z = 97.42744, angle = -91.78714, collision = h1008B1
x = 304.7176, y = -304.164, z = 97.39043, angle = -78.16875, collision = h1008B1
x = 305.9911, y = -304.1675, z = 97.12548, angle = -80.97153, collision = h1008B1
x = 307.0168, y = -304.1704, z = 96.93378, angle = -85.60656, collision = h1008B1
x = 308.4038, y = -304.17, z = 96.8203, angle = -90.51744, collision = h1008B1
x = 309.6767, y = -304.1701, z = 96.82272, angle = -94.21057, collision = h1008B1
x = 311.1031, y = -304.1729, z = 96.87711, angle = -68.44481, collision = h1008B1
x = 312.0965, y = -304.1716, z = 96.54471, angle = -72.64592, collision = h1008B1
x = 313.4324, y = -304.1693, z = 96.15063, angle = -99.7395, collision = h1008B1
x = 314.6657, y = -304.1697, z = 96.29585, angle = -120.41, collision = h1008B1
x = 315.8574, y = -304.1725, z = 96.97509, angle = -138.8231, collision = h1008B1
x = 316.7627, y = -304.1696, z = 97.91458, angle = -162.1043, collision = h1008B1
x = 317.1729, y = -304.1701, z = 99.11279, angle = 149.9823, collision = h1008B1
x = 316.6686, y = -304.1754, z = 100.2298, angle = 70.24445, collision = h1008B1
x = 315.6522, y = -304.1805, z = 100.0109, angle = 61.32659, collision = h1008B1
x = 314.4162, y = -304.1845, z = 99.36546, angle = 60.87614, collision = h1008B1
x = 313.2744, y = -304.1823, z = 98.83818, angle = 86.40676, collision = h1008B1
x = 311.909, y = -304.1821, z = 98.73411, angle = 91.8806, collision = h1008B1
x = 310.6969, y = -304.182, z = 98.76569, angle = 93.90888, collision = h1008B1
x = 309.3735, y = -304.1801, z = 98.86163, angle = 105.6836, collision = h1008B1
x = 308.1719, y = -304.1819, z = 99.16159, angle = 131.1279, collision = h1008B1
x = 307.2258, y = -304.1855, z = 99.9762, angle = -177.5264, collision = h1008B1
x = 307.2, y = -304.1915, z = 101.2703, angle = -135.3714, collision = h1008B1
x = 308.0156, y = -304.1974, z = 102.2399, angle = -133.78, collision = h1008B1
x = 309.011, y = -304.2019, z = 103.1878, angle = -131.1503, collision = h1008B1
x = 309.9503, y = -304.2078, z = 104.0206, angle = -129.7399, collision = h1008B1
x = 310.8525, y = -304.2113, z = 104.7704, angle = -129.6109, collision = h1008B1
x = 311.7951, y = -304.2145, z = 105.5761, angle = -160.9601, collision = h1008B1
x = 312.2995, y = -304.2146, z = 106.8242, angle = 157.3907, collision = h1008B1
x = 311.9209, y = -304.2194, z = 108.0148, angle = 150.1878, collision = h1008B1
x = 311.2725, y = -304.2256, z = 109.1625, angle = 149.1143, collision = h1008B1
x = 310.618, y = -304.2317, z = 110.2613, angle = 148.8003, collision = h1008B1
x = 309.9672, y = -304.2377, z = 111.3369, angle = 152.1828, collision = h1008B1
x = 309.3351, y = -304.2442, z = 112.5065, angle = 158.0168, collision = h1008B1
x = 308.854, y = -304.2426, z = 113.6552, angle = 167.5916, collision = h1008B1
x = 308.5748, y = -304.2268, z = 114.9893, angle = -124.6905, collision = h1008B1
x = 309.4891, y = -304.2329, z = 115.8455, angle = -88.29755, collision = h1008B1
x = 310.6436, y = -304.2483, z = 115.8983, angle = -64.67129, collision = h1008B1
x = 311.8219, y = -304.2404, z = 115.4277, angle = -61.30163, collision = h1008B1
x = 313.0413, y = -304.2317, z = 114.7624, angle = -64.35866, collision = h1008B1
x = 314.1974, y = -304.2236, z = 114.2081, angle = -69.2858, collision = h1008B1
x = 315.4454, y = -304.2153, z = 113.7227, angle = -74.76699, collision = h1008B1
x = 316.6985, y = -304.2073, z = 113.3694, angle = -81.47446, collision = h1008B1
x = 317.7274, y = -304.2012, z = 113.1968, angle = -143.6684, collision = h1008B1
x = 318.6479, y = -304.1992, z = 114.0754, angle = 167.7569, collision = h1008B1
x = 318.4481, y = -304.1995, z = 115.2726, angle = 156.0389, collision = h1008B1
x = 317.9114, y = -304.2044, z = 116.5326, angle = 155.5119, collision = h1008B1
x = 317.4253, y = -304.2089, z = 117.6499, angle = 164.267, collision = h1008B1
x = 317.0438, y = -304.2113, z = 118.9635, angle = 170.9928, collision = h1008B1
x = 316.8099, y = -304.2117, z = 120.1892, angle = 177.5041, collision = h1008B1
x = 316.7486, y = -304.2093, z = 121.5163, angle = -168.9063, collision = h1008B1
x = 316.9298, y = -304.2035, z = 122.7635, angle = -121.9035, collision = h1008B1
x = 317.919, y = -304.1868, z = 123.4858, angle = -80.61686, collision = h1008B1
x = 319.1952, y = -304.1681, z = 123.3348, angle = -62.76086, collision = h1008B1
x = 320.3493, y = -304.1569, z = 122.7836, angle = -62.51648, collision = h1008B1
x = 321.5736, y = -304.1594, z = 122.1538, angle = -83.31741, collision = h1008B1
x = 322.8185, y = -304.1562, z = 121.9527, angle = -96.18928, collision = h1008B1
x = 323.9908, y = -304.1562, z = 122.0186, angle = -134.049, collision = h1008B1
x = 324.9015, y = -304.1563, z = 122.7514, angle = 170.9116, collision = h1008B1
x = 324.8148, y = -304.1563, z = 124.0765, angle = 164.7706, collision = h1008B1
x = 324.4958, y = -304.1563, z = 125.2628, angle = 146.0908, collision = h1008B1
x = 323.7954, y = -304.1601, z = 126.3488, angle = -170.7784, collision = h1008B1
x = 323.7849, y = -304.1829, z = 127.5907, angle = -131.8018, collision = h1008B1
x = 324.6212, y = -304.2016, z = 128.5118, angle = -92.01758, collision = h1008B1
x = 325.8903, y = -304.2071, z = 128.6611, angle = -61.43533, collision = h1008B1
x = 326.9885, y = -304.1992, z = 128.0984, angle = -60.02164, collision = h1008B1
x = 328.1849, y = -304.1891, z = 127.4082, angle = -57.34513, collision = h1008B1
x = 329.2047, y = -304.1794, z = 126.7546, angle = -51.32894, collision = h1008B1
x = 330.3058, y = -304.1663, z = 125.9096, angle = -71.91038, collision = h1008B1
x = 331.4666, y = -304.161, z = 125.4836, angle = -142.8214, collision = h1008B1
x = 332.3778, y = -304.1788, z = 126.3421, angle = -158.2051, collision = h1008B1
x = 332.8456, y = -304.1946, z = 127.5126, angle = -167.8042, collision = h1008B1
x = 333.1832, y = -304.1847, z = 128.7881, angle = -170.7348, collision = h1008B1
x = 333.3954, y = -304.1764, z = 130.0463, angle = -166.9928, collision = h1008B1
x = 333.6513, y = -304.1677, z = 131.2659, angle = -137.779, collision = h1008B1
x = 334.4387, y = -304.1559, z = 132.2664, angle = -88.51279, collision = h1008B1
x = 335.6854, y = -304.1562, z = 132.2846, angle = -62.21214, collision = h1008B1
x = 336.9388, y = -304.1578, z = 131.7245, angle = -57.80557, collision = h1008B1
x = 338.006, y = -304.1685, z = 131.1592, angle = -108.5787, collision = h1008B1
x = 339.2953, y = -304.1821, z = 131.5863, angle = -137.9688, collision = h1008B1
x = 339.9948, y = -304.1897, z = 132.3021, angle = -153.9627, collision = h1008B1
x = 340.5755, y = -304.1963, z = 133.4744, angle = -173.4079, collision = h1008B1
x = 340.7443, y = -304.1986, z = 134.7365, angle = -130.0467, collision = h1008B1
x = 341.5418, y = -304.2073, z = 135.6582, angle = -122.1638, collision = h1008B1
x = 342.6757, y = -304.2195, z = 136.3712, angle = -121.5729, collision = h1008B1
x = 343.7334, y = -304.2275, z = 137.0291, angle = -126.5782, collision = h1008B1
x = 344.8426, y = -304.2209, z = 137.8271, angle = -135.3087, collision = h1008B1
x = 345.6905, y = -304.209, z = 138.7072, angle = -157.6166, collision = h1008B1
x = 346.2957, y = -304.1888, z = 139.9489, angle = -159.7751, collision = h1008B1
x = 346.7189, y = -304.1699, z = 141.0937, angle = -160.2959, collision = h1008B1
x = 347.1763, y = -304.1576, z = 142.3619, angle = -154.4929, collision = h1008B1
x = 347.725, y = -304.1556, z = 143.477, angle = -138.1445, collision = h1008B1
x = 348.6177, y = -304.1552, z = 144.4444, angle = -104.8345, collision = h1008B1
x = 349.822, y = -304.1557, z = 144.8413, angle = -93.11372, collision = h1008B1
x = 351.0645, y = -304.1794, z = 144.933, angle = -86.36642, collision = h1008B1
x = 352.3892, y = -304.208, z = 144.8569, angle = -86.02512, collision = h1008B1
x = 353.6208, y = -304.2348, z = 144.7744, angle = -86.13605, collision = h1008B1
x = 354.9955, y = -304.2757, z = 144.6812, angle = -85.45412, collision = h1008B1
x = 356.2104, y = -304.254, z = 144.5857, angle = -88.75594, collision = h1008B1
x = 357.5697, y = -304.1831, z = 144.5267, angle = -87.56509, collision = h1008B1
x = 358.8065, y = -304.1563, z = 144.4811, angle = -82.91444, collision = h1008B1
x = 360.1688, y = -304.1564, z = 144.3211, angle = -75.01891, collision = h1008B1
x = 361.2059, y = -304.1563, z = 144.0755, angle = -65.38263, collision = h1008B1
x = 362.4265, y = -304.1563, z = 143.541, angle = -37.3553, collision = h1008B1
x = 363.2379, y = -304.1563, z = 142.5513, angle = 12.66215, collision = h1008B1
x = 362.9845, y = -304.1563, z = 141.3504, angle = 52.69925, collision = h1008B1
x = 361.9911, y = -304.1564, z = 140.4826, angle = 121.9793, collision = h1008B1
x = 360.9648, y = -304.1564, z = 140.9766, angle = 173.7242, collision = h1008B1
x = 360.7545, y = -304.1564, z = 141.9947, angle = 125.3352, collision = h1008B1
x = 360.1605, y = -304.1564, z = 142.9723, angle = 111.2267, collision = h1008B1
x = 355.0375, y = -304.2386, z = 143.4627, angle = 48.67504, collision = h1008B1
x = 353.9087, y = -304.2617, z = 142.5696, angle = 15.41873, collision = h1008B1
x = 353.4442, y = -304.2663, z = 141.3952, angle = -29.76084, collision = h1008B1
x = 353.9831, y = -304.2484, z = 140.2893, angle = -22.49915, collision = h1008B1
x = 354.5213, y = -304.2283, z = 139.04, angle = -9.103508, collision = h1008B1
x = 354.7859, y = -304.2097, z = 137.856, angle = -1.314688, collision = h1008B1
x = 354.8427, y = -304.1888, z = 136.4912, angle = 18.75414, collision = h1008B1
x = 354.4389, y = -304.1854, z = 135.3902, angle = 76.55962, collision = h1008B1
x = 353.152, y = -304.1992, z = 135.0198, angle = 76.86983, collision = h1008B1
x = 351.9527, y = -304.2121, z = 134.7464, angle = 76.0315, collision = h1008B1
x = 350.6941, y = -304.2215, z = 134.437, angle = 78.59929, collision = h1008B1
x = 349.4448, y = -304.2249, z = 134.1694, angle = 76.79219, collision = h1008B1
x = 348.2334, y = -304.2277, z = 133.8788, angle = 56.26571, collision = h1008B1
x = 347.116, y = -304.2289, z = 133.1926, angle = -5.427091, collision = h1008B1
x = 347.0693, y = -304.2264, z = 132.0497, angle = -48.65, collision = h1008B1
x = 348.0742, y = -304.2173, z = 131.1192, angle = -48.18156, collision = h1008B1
